Benchmark,Variant,Method,Cost
CD,_Slowdown,cd.RedBlackTree.treeInsert,24.86%
CD,_Slowdown,cd.CollisionDetector.isInVoxel,12.88%
CD,_Slowdown,cd.RedBlackTree.findNode,8.37%
CD,_Slowdown,cd.Vector2D.compareTo,8.04%
CD,_Slowdown,cd.RedBlackTree.put,6.44%
CD,_NoSlowdown,cd.RedBlackTree.treeInsert,22.31%
CD,_NoSlowdown,cd.CollisionDetector.isInVoxel,14.49%
CD,_NoSlowdown,cd.RedBlackTree.findNode,10.87%
CD,_NoSlowdown,cd.RedBlackTree.put,8.66%
CD,_NoSlowdown,cd.RedBlackTree.forEach,5.26%
DeltaBlue,_Slowdown,som.Vector.forEach,27.55%
DeltaBlue,_Slowdown,deltablue.Plan$$Lambda.apply,12.26%
DeltaBlue,_Slowdown,som.Vector.append,4.80%
DeltaBlue,_Slowdown,deltablue.ScaleConstraint.execute,4.10%
DeltaBlue,_Slowdown,deltablue.AbstractConstraint.satisfy,3.65%
DeltaBlue,_NoSlowdown,som.Vector.forEach,30.05%
DeltaBlue,_NoSlowdown,deltablue.Plan$$Lambda.apply,16.49%
DeltaBlue,_NoSlowdown,deltablue.ScaleConstraint.execute,5.48%
DeltaBlue,_NoSlowdown,deltablue.Planner$$Lambda.apply,3.48%
DeltaBlue,_NoSlowdown,void,3.35%
Havlak,_Slowdown,som.Vector.hasSome,46.43%
Havlak,_Slowdown,som.Vector.<init>,12.28%
Havlak,_Slowdown,havlak.HavlakLoopFinder.findLoops,4.35%
Havlak,_Slowdown,som.Vector.append,4.29%
Havlak,_Slowdown,void,2.80%
Havlak,_NoSlowdown,som.Vector.hasSome,26.15%
Havlak,_NoSlowdown,som.Vector.append,7.85%
Havlak,_NoSlowdown,som.Vector.<init>,7.36%
Havlak,_NoSlowdown,void,6.50%
Havlak,_NoSlowdown,havlak.HavlakLoopFinder.findLoops,5.12%
Json,_Slowdown,java.lang.String.equals,41.83%
Json,_Slowdown,json.JsonPureStringParser.read,8.88%
Json,_Slowdown,java.util.Arrays.copyOfRangeByte,8.17%
Json,_Slowdown,java.lang.StringLatin1.newString,6.17%
Json,_Slowdown,java.lang.System.arraycopy,5.62%
Json,_NoSlowdown,java.lang.String.equals,34.34%
Json,_NoSlowdown,jbyte_disjoint_arraycopy,10.51%
Json,_NoSlowdown,java.lang.StringLatin1.newString,8.32%
Json,_NoSlowdown,json.JsonPureStringParser.read,6.98%
Json,_NoSlowdown,java.util.Arrays.copyOfRangeByte,6.03%
Richards,_Slowdown,itable,16.24%
Richards,_Slowdown,richards.TaskState.isTaskHoldingOrWaiting,11.93%
Richards,_Slowdown,richards.TaskControlBlock.runTask,10.77%
Richards,_Slowdown,richards.Scheduler.schedule,9.52%
Richards,_Slowdown,richards.Scheduler.lambda$createHandler$1,8.00%
Richards,_NoSlowdown,itable,33.48%
Richards,_NoSlowdown,richards.Scheduler.schedule,10.78%
Richards,_NoSlowdown,richards.Scheduler$$Lambda.apply,10.24%
Richards,_NoSlowdown,richards.Scheduler$$Lambda.apply,6.85%
Richards,_NoSlowdown,richards.TaskState.isTaskHoldingOrWaiting,5.90%
Bounce,_Slowdown,Bounce$Ball.bounce,54.80%
Bounce,_Slowdown,Bounce.benchmark,40.01%
Bounce,_Slowdown,som.Random.next,2.17%
Bounce,_Slowdown,Bounce$Ball.<init>,1.10%
Bounce,_Slowdown,java.lang.Math.abs,1.06%
Bounce,_NoSlowdown,Bounce$Ball.bounce,77.75%
Bounce,_NoSlowdown,Bounce.benchmark,13.85%
Bounce,_NoSlowdown,Bounce$Ball.<init>,2.98%
Bounce,_NoSlowdown,java.lang.Math.abs,2.03%
Bounce,_NoSlowdown,som.Random.next,1.90%
List,_Slowdown,List.isShorterThan,48.48%
List,_Slowdown,List$Element.getNext,44.86%
List,_Slowdown,List.tail,6.03%
List,_Slowdown,List.makeList,0.36%
List,_Slowdown,java.lang.Integer.valueOf,0.11%
List,_NoSlowdown,List$Element.getNext,63.57%
List,_NoSlowdown,List.isShorterThan,30.16%
List,_NoSlowdown,List.tail,5.33%
List,_NoSlowdown,List.makeList,0.52%
List,_NoSlowdown,java.lang.Integer.valueOf,0.12%
Mandelbrot,_Slowdown,Mandelbrot.mandelbrot,99.78%
Mandelbrot,_Slowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.06%
Mandelbrot,_Slowdown,clear_page_rep_[k],0.01%
Mandelbrot,_Slowdown,zap_pte_range_[k],0.01%
Mandelbrot,_Slowdown,WatcherThread::sleep(),0.01%
Mandelbrot,_NoSlowdown,Mandelbrot.mandelbrot,99.73%
Mandelbrot,_NoSlowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.08%
Mandelbrot,_NoSlowdown,java.util.concurrent.locks.ReentrantLock$Sync.tryRelease,0.01%
Mandelbrot,_NoSlowdown,InterpreterRuntime::frequency_counter_overflow_inner(JavaThread*,0.01%
Mandelbrot,_NoSlowdown,java.lang.invoke.DirectMethodHandle$Holder.invokeStatic,0.01%
NBody,_Slowdown,NBody.innerBenchmarkLoop,63.75%
NBody,_Slowdown,nbody.NBodySystem.advance,27.37%
NBody,_Slowdown,nbody.Body.getVX,3.41%
NBody,_Slowdown,nbody.Body.getVZ,1.19%
NBody,_Slowdown,nbody.Body.getVY,1.08%
NBody,_NoSlowdown,nbody.NBodySystem.advance,77.01%
NBody,_NoSlowdown,nbody.Body.getVX,9.29%
NBody,_NoSlowdown,nbody.Body.getVY,3.38%
NBody,_NoSlowdown,nbody.Body.getVZ,3.13%
NBody,_NoSlowdown,nbody.Body.setVX,2.47%
Permute,_Slowdown,Permute.permute,73.60%
Permute,_Slowdown,Permute.swap,26.23%
Permute,_Slowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.06%
Permute,_Slowdown,_raw_spin_unlock_irqrestore_[k],0.01%
Permute,_Slowdown,Interpreter,0.01%
Permute,_NoSlowdown,Permute.permute,63.13%
Permute,_NoSlowdown,Permute.swap,36.57%
Permute,_NoSlowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.11%
Permute,_NoSlowdown,Permute.benchmark,0.02%
Permute,_NoSlowdown,clear_page_rep_[k],0.01%
Queens,_Slowdown,Queens.getRowColumn,60.49%
Queens,_Slowdown,Queens.placeQueen,33.86%
Queens,_Slowdown,Queens.setRowColumn,4.43%
Queens,_Slowdown,Queens.queens,0.76%
Queens,_Slowdown,java.util.Arrays.fill,0.16%
Queens,_NoSlowdown,Queens.getRowColumn,53.65%
Queens,_NoSlowdown,Queens.placeQueen,34.21%
Queens,_NoSlowdown,Queens.setRowColumn,10.05%
Queens,_NoSlowdown,Queens.queens,0.90%
Queens,_NoSlowdown,java.util.Arrays.fill,0.60%
Sieve,_Slowdown,Sieve.sieve,92.94%
Sieve,_Slowdown,java.util.Arrays.fill,6.01%
Sieve,_Slowdown,Sieve.benchmark,0.89%
Sieve,_Slowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.02%
Sieve,_Slowdown,Interpreter,0.01%
Sieve,_NoSlowdown,Sieve.sieve,87.18%
Sieve,_NoSlowdown,java.util.Arrays.fill,10.46%
Sieve,_NoSlowdown,Sieve.benchmark,2.01%
Sieve,_NoSlowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.06%
Sieve,_NoSlowdown,_raw_spin_unlock_irqrestore_[k],0.01%
Storage,_Slowdown,Storage.buildTreeDepth,77.60%
Storage,_Slowdown,java.util.Arrays.setAll,11.74%
Storage,_Slowdown,som.Random.next,7.16%
Storage,_Slowdown,jdk.internal.misc.Unsafe.allocateInstance,1.75%
Storage,_Slowdown,Storage.lambda$buildTreeDepth$0,0.55%
Storage,_NoSlowdown,Storage.buildTreeDepth,63.39%
Storage,_NoSlowdown,java.util.Arrays.setAll,24.79%
Storage,_NoSlowdown,som.Random.next,4.81%
Storage,_NoSlowdown,jdk.internal.misc.Unsafe.allocateInstance,2.74%
Storage,_NoSlowdown,Storage$$Lambda.apply,2.24%
Towers,_Slowdown,Towers.popDiskFrom,25.29%
Towers,_Slowdown,Towers.moveDisks,24.49%
Towers,_Slowdown,Towers$TowersDisk.getSize,14.99%
Towers,_Slowdown,Towers.moveTopDisk,13.05%
Towers,_Slowdown,Towers.pushDisk,12.46%
Towers,_NoSlowdown,Towers.moveDisks,76.74%
Towers,_NoSlowdown,Towers.popDiskFrom,9.23%
Towers,_NoSlowdown,Towers.pushDisk,5.35%
Towers,_NoSlowdown,Towers$TowersDisk.setNext,3.80%
Towers,_NoSlowdown,Towers.moveTopDisk,3.35%
