Benchmark,Variant,Method,Cost
CD,_Slowdown,cd.RedBlackTree.treeInsert,25.20%
CD,_Slowdown,cd.CollisionDetector.isInVoxel,12.19%
CD,_Slowdown,cd.RedBlackTree.findNode,9.20%
CD,_Slowdown,cd.Vector2D.compareTo,7.47%
CD,_Slowdown,cd.RedBlackTree.put,6.73%
CD,_NoSlowdown,cd.RedBlackTree.treeInsert,20.42%
CD,_NoSlowdown,cd.CollisionDetector.isInVoxel,14.46%
CD,_NoSlowdown,cd.RedBlackTree.findNode,10.12%
CD,_NoSlowdown,cd.RedBlackTree.put,9.05%
CD,_NoSlowdown,cd.RedBlackTree.treeMinimum,5.22%
DeltaBlue,_Slowdown,som.Vector.forEach,29.20%
DeltaBlue,_Slowdown,deltablue.Plan$$Lambda.apply,10.54%
DeltaBlue,_Slowdown,som.Vector.append,5.59%
DeltaBlue,_Slowdown,itable,3.96%
DeltaBlue,_Slowdown,deltablue.Planner.addPropagate,3.42%
DeltaBlue,_NoSlowdown,som.Vector.forEach,23.58%
DeltaBlue,_NoSlowdown,deltablue.Plan$$Lambda.apply,17.56%
DeltaBlue,_NoSlowdown,deltablue.EqualityConstraint.execute,6.61%
DeltaBlue,_NoSlowdown,deltablue.Planner$$Lambda.apply,5.24%
DeltaBlue,_NoSlowdown,deltablue.Planner.addPropagate,4.06%
Havlak,_Slowdown,som.Vector.hasSome,46.95%
Havlak,_Slowdown,som.Vector.<init>,12.67%
Havlak,_Slowdown,som.Vector.append,4.46%
Havlak,_Slowdown,havlak.HavlakLoopFinder.findLoops,4.17%
Havlak,_Slowdown,void,2.74%
Havlak,_NoSlowdown,som.Vector.hasSome,26.64%
Havlak,_NoSlowdown,som.Vector.append,7.83%
Havlak,_NoSlowdown,som.Vector.<init>,7.37%
Havlak,_NoSlowdown,void,6.40%
Havlak,_NoSlowdown,DefNewGeneration::copy_to_survivor_space(oopDesc*),5.32%
Json,_Slowdown,java.lang.String.equals,42.10%
Json,_Slowdown,json.JsonPureStringParser.read,9.17%
Json,_Slowdown,java.util.Arrays.copyOfRangeByte,8.20%
Json,_Slowdown,java.lang.StringLatin1.newString,6.35%
Json,_Slowdown,jbyte_disjoint_arraycopy,5.67%
Json,_NoSlowdown,java.lang.String.equals,34.24%
Json,_NoSlowdown,jbyte_disjoint_arraycopy,9.99%
Json,_NoSlowdown,java.lang.StringLatin1.newString,8.44%
Json,_NoSlowdown,json.JsonPureStringParser.read,6.70%
Json,_NoSlowdown,java.util.Arrays.copyOfRangeByte,5.47%
Richards,_Slowdown,itable,16.32%
Richards,_Slowdown,richards.TaskState.isTaskHoldingOrWaiting,11.63%
Richards,_Slowdown,richards.TaskControlBlock.runTask,11.55%
Richards,_Slowdown,richards.Scheduler.schedule,9.04%
Richards,_Slowdown,richards.Scheduler.lambda$createHandler$1,8.14%
Richards,_NoSlowdown,itable,34.07%
Richards,_NoSlowdown,richards.Scheduler.schedule,10.16%
Richards,_NoSlowdown,richards.Scheduler$$Lambda.apply,9.05%
Richards,_NoSlowdown,richards.Scheduler$$Lambda.apply,6.59%
Richards,_NoSlowdown,richards.TaskState.isTaskHoldingOrWaiting,6.13%
Bounce,_Slowdown,Bounce$Ball.bounce,57.41%
Bounce,_Slowdown,Bounce.benchmark,36.82%
Bounce,_Slowdown,som.Random.next,2.80%
Bounce,_Slowdown,Bounce$Ball.<init>,1.14%
Bounce,_Slowdown,java.lang.Math.abs,1.07%
Bounce,_NoSlowdown,Bounce$Ball.bounce,78.03%
Bounce,_NoSlowdown,Bounce.benchmark,13.62%
Bounce,_NoSlowdown,Bounce$Ball.<init>,2.85%
Bounce,_NoSlowdown,java.lang.Math.abs,1.94%
Bounce,_NoSlowdown,som.Random.next,1.90%
List,_Slowdown,List.isShorterThan,47.16%
List,_Slowdown,List$Element.getNext,46.89%
List,_Slowdown,List.tail,5.33%
List,_Slowdown,List.makeList,0.35%
List,_Slowdown,java.lang.Integer.valueOf,0.09%
List,_NoSlowdown,List$Element.getNext,64.58%
List,_NoSlowdown,List.isShorterThan,29.22%
List,_NoSlowdown,List.tail,5.34%
List,_NoSlowdown,List.makeList,0.44%
List,_NoSlowdown,java.lang.Integer.valueOf,0.11%
Mandelbrot,_Slowdown,Mandelbrot.mandelbrot,99.73%
Mandelbrot,_Slowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.08%
Mandelbrot,_Slowdown,Interpreter,0.03%
Mandelbrot,_Slowdown,do_user_addr_fault_[k],0.01%
Mandelbrot,_Slowdown,__futex_abstimed_wait_common,0.01%
Mandelbrot,_NoSlowdown,Mandelbrot.mandelbrot,99.69%
Mandelbrot,_NoSlowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.05%
Mandelbrot,_NoSlowdown,Interpreter,0.02%
Mandelbrot,_NoSlowdown,update_blocked_averages_[k],0.01%
Mandelbrot,_NoSlowdown,next_uptodate_page_[k],0.01%
NBody,_Slowdown,NBody.innerBenchmarkLoop,64.03%
NBody,_Slowdown,nbody.NBodySystem.advance,27.26%
NBody,_Slowdown,nbody.Body.getVX,3.13%
NBody,_Slowdown,nbody.Body.getVY,1.21%
NBody,_Slowdown,nbody.Body.getVZ,1.14%
NBody,_NoSlowdown,nbody.NBodySystem.advance,76.25%
NBody,_NoSlowdown,nbody.Body.getVX,9.86%
NBody,_NoSlowdown,nbody.Body.getVY,3.36%
NBody,_NoSlowdown,nbody.Body.getVZ,3.21%
NBody,_NoSlowdown,nbody.Body.setVX,2.41%
Permute,_Slowdown,Permute.permute,73.82%
Permute,_Slowdown,Permute.swap,26.02%
Permute,_Slowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.06%
Permute,_Slowdown,Interpreter,0.01%
Permute,_Slowdown,Permute.benchmark,0.01%
Permute,_NoSlowdown,Permute.permute,63.39%
Permute,_NoSlowdown,Permute.swap,36.32%
Permute,_NoSlowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.10%
Permute,_NoSlowdown,Permute.benchmark,0.01%
Permute,_NoSlowdown,Interpreter,0.01%
Queens,_Slowdown,Queens.getRowColumn,57.22%
Queens,_Slowdown,Queens.placeQueen,36.57%
Queens,_Slowdown,Queens.setRowColumn,5.04%
Queens,_Slowdown,Queens.queens,0.68%
Queens,_Slowdown,java.util.Arrays.fill,0.20%
Queens,_NoSlowdown,Queens.getRowColumn,53.74%
Queens,_NoSlowdown,Queens.placeQueen,34.12%
Queens,_NoSlowdown,Queens.setRowColumn,10.05%
Queens,_NoSlowdown,Queens.queens,0.92%
Queens,_NoSlowdown,java.util.Arrays.fill,0.55%
Sieve,_Slowdown,Sieve.sieve,92.69%
Sieve,_Slowdown,java.util.Arrays.fill,6.29%
Sieve,_Slowdown,Sieve.benchmark,0.85%
Sieve,_Slowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.03%
Sieve,_Slowdown,Interpreter,0.01%
Sieve,_NoSlowdown,Sieve.sieve,86.78%
Sieve,_NoSlowdown,java.util.Arrays.fill,10.47%
Sieve,_NoSlowdown,Sieve.benchmark,2.39%
Sieve,_NoSlowdown,__ZN41com_002eoracle_002esvm_002ecore_002ecode_002eIsolateEnterStub74TruffleToLibGraalEntryPoints__validateCompilerOption__Ujs0fEGwUTHHbobHrcnio9EJ32org_002egraalvm_002ejniutils_002eJNI_0024JString31org_002egraalvm_002ejniutils_002eJNI_0024JNIEnv31org_002egraalvm_002ejniutils_002eJNI_0024JClasslS0__S0__,0.06%
Sieve,_NoSlowdown,[vdso],0.02%
Storage,_Slowdown,Storage.buildTreeDepth,57.22%
Storage,_Slowdown,java.util.Arrays.setAll,32.41%
Storage,_Slowdown,jdk.internal.misc.Unsafe.allocateInstance,4.87%
Storage,_Slowdown,som.Random.next,3.29%
Storage,_Slowdown,Storage.lambda$buildTreeDepth$0,0.85%
Storage,_NoSlowdown,Storage.buildTreeDepth,56.84%
Storage,_NoSlowdown,java.util.Arrays.setAll,30.73%
Storage,_NoSlowdown,som.Random.next,4.93%
Storage,_NoSlowdown,Storage$$Lambda.apply,3.00%
Storage,_NoSlowdown,jdk.internal.misc.Unsafe.allocateInstance,2.52%
Towers,_Slowdown,Towers.popDiskFrom,27.46%
Towers,_Slowdown,Towers.moveDisks,21.47%
Towers,_Slowdown,Towers$TowersDisk.getSize,16.76%
Towers,_Slowdown,Towers.pushDisk,14.40%
Towers,_Slowdown,Towers.moveTopDisk,10.26%
Towers,_NoSlowdown,Towers.moveDisks,76.15%
Towers,_NoSlowdown,Towers.popDiskFrom,9.76%
Towers,_NoSlowdown,Towers.pushDisk,5.43%
Towers,_NoSlowdown,Towers$TowersDisk.setNext,3.68%
Towers,_NoSlowdown,Towers.moveTopDisk,3.41%
