Benchmark,Variant,Method,Cost
CD,_Slowdown,cd.RedBlackTree.treeInsert,24.10%
CD,_Slowdown,cd.CollisionDetector.isInVoxel,12.04%
CD,_Slowdown,cd.RedBlackTree.findNode,8.95%
CD,_Slowdown,cd.Vector2D.compareTo,7.32%
CD,_Slowdown,cd.RedBlackTree.put,7.00%
CD,_NoSlowdown,cd.RedBlackTree.treeInsert,21.66%
CD,_NoSlowdown,cd.CollisionDetector.isInVoxel,15.06%
CD,_NoSlowdown,cd.RedBlackTree.findNode,9.38%
CD,_NoSlowdown,cd.RedBlackTree.put,9.12%
CD,_NoSlowdown,cd.RedBlackTree.forEach,5.25%
DeltaBlue,_Slowdown,som.Vector.forEach,29.26%
DeltaBlue,_Slowdown,deltablue.Plan$$Lambda.apply,11.02%
DeltaBlue,_Slowdown,deltablue.Planner.addPropagate,6.23%
DeltaBlue,_Slowdown,som.Vector.append,5.69%
DeltaBlue,_Slowdown,deltablue.BinaryConstraint.getOutput,3.97%
DeltaBlue,_NoSlowdown,som.Vector.forEach,23.74%
DeltaBlue,_NoSlowdown,deltablue.Plan$$Lambda.apply,18.15%
DeltaBlue,_NoSlowdown,deltablue.EqualityConstraint.execute,5.43%
DeltaBlue,_NoSlowdown,deltablue.ScaleConstraint.execute,5.32%
DeltaBlue,_NoSlowdown,deltablue.Planner$$Lambda.apply,4.84%
Havlak,_Slowdown,som.Vector.hasSome,46.53%
Havlak,_Slowdown,som.Vector.<init>,12.76%
Havlak,_Slowdown,som.Vector.append,4.71%
Havlak,_Slowdown,havlak.HavlakLoopFinder.findLoops,4.11%
Havlak,_Slowdown,void,2.77%
Havlak,_NoSlowdown,som.Vector.hasSome,26.82%
Havlak,_NoSlowdown,som.Vector.append,7.48%
Havlak,_NoSlowdown,void,7.08%
Havlak,_NoSlowdown,som.Vector.<init>,7.07%
Havlak,_NoSlowdown,DefNewGeneration::copy_to_survivor_space(oopDesc*),5.23%
Json,_Slowdown,java.lang.String.equals,40.69%
Json,_Slowdown,json.JsonPureStringParser.read,8.22%
Json,_Slowdown,java.util.Arrays.copyOfRangeByte,8.04%
Json,_Slowdown,java.lang.StringLatin1.newString,6.60%
Json,_Slowdown,jbyte_disjoint_arraycopy,5.13%
Json,_NoSlowdown,java.lang.String.equals,34.78%
Json,_NoSlowdown,jbyte_disjoint_arraycopy,9.01%
Json,_NoSlowdown,java.lang.StringLatin1.newString,8.27%
Json,_NoSlowdown,json.JsonPureStringParser.read,6.65%
